,task_type,prompt,quality_level,quality_score,grade,hallucination_risk,clarity,specificity,structure,constraints,decisions,prompt_length,prompt_word_count,custom_score_100,custom_grade,rank_band,has_keywords,keyword_count,keyword_density
17375,presentation,"Task: presentation for hospitality project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Product: automotive platform
Ref: 6035-HOS",medium,77,C,0.51,3,4,2,3,Lacks formatting guidance | Actionable instructions,187,25,51.44,D,Poor,0,0,0.0
17376,image,"image marketing help

Company: Horizon Labs
Ref: 8232-MAR",low,32,F,0.28,2,2,1,1,Feedback mechanism included | Lacks formatting guidance | Inconsistent terminology,60,8,34.04,F,Very Poor,0,0,0.0
17377,post,"post nonprofit help

Company: Future Systems
Ref: 9525-NON",low,45,F,0.28,3,1,1,2,Lacks formatting guidance | Success metrics defined | Missing examples,61,8,37.7,F,Very Poor,0,0,0.0
17378,code,"Help me create a code focused on research. It needs to be clear and organized. Target audience is managers.

Company: Peak Performance
Product: biotech solution
Timeline: next 6 months
Ref: 6529-RES",medium,84,B,0.55,3,2,2,4,Feedback mechanism included | Lacks formatting guidance | Detailed methodology included | No escalation path | Scope clearly defined,203,31,46.79,D,Poor,1,1,0.03225806451612903
17379,presentation,"presentation request: marketing focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Timeline: next quarter
Ref: 2896-MAR",medium,78,C,0.42,3,3,2,4,Assumptions documented | Lacks formatting guidance | Version control noted | No accessibility considerations,164,20,53.77,D,Poor,1,1,0.05
17380,image,"Role: Professional graphic designer for research marketing.

Task: Create a modern logo design for a new research startup.

Instructions:
1. Use minimalist design principles
2. Incorporate research-relevant symbolism
3. Ensure scalability for all sizes
4. Provide color variations

Constraints:
- Primary colors: navy blue and gold
- Must work on dark and light backgrounds
- Vector format required

Output Format: SVG files with color palette specifications.

Product: education service
Ref: 5938-RES",high,90,A,0.32,4,5,5,4,Feedback mechanism included | Lacks success criteria,519,71,80.05,B,Good,1,1,0.014084507042253521
17381,email,"consulting email please

Company: Future Systems
Audience: end users
Ref: 4865-CON",low,41,F,0.27,3,1,1,2,Lacks prioritization | Unclear ownership | Feedback mechanism included,86,11,37.86,F,Very Poor,0,0,0.0
17382,data_analysis,"Looking for a data_analysis about real estate trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Timeline: by end of year
Ref: 8086-REA",medium,72,C,0.5,2,4,4,3,Assumptions documented | Timeline specified | Missing examples | No risk assessment,181,25,55.45,C,Average,0,0,0.0
17383,document,"Task: document for agriculture project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Audience: customers
Ref: 1728-AGR",medium,71,C,0.5,4,2,2,3,Strong constraints provided | No quality standards | No deadline specified,174,24,48.0,D,Poor,0,0,0.0
17384,video,"Looking for a video about banking trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Ref: 3011-BAN",medium,79,C,0.39,3,2,4,3,No fallback options | Strong constraints provided | Specific deliverables mentioned,143,19,54.77,D,Poor,0,0,0.0
17385,creative,"Role: Poet commissioned for real estate anthology.

Task: Write collection of 10 poems exploring real estate themes.

Instructions:
1. Varied forms (sonnet, free verse, haiku)
2. Metaphorical language
3. Emotional resonance
4. Thematic connections

Constraints:
- Original imagery
- Consistent voice
- Publication-ready

Output Format: Manuscript with author notes.

Company: Peak Performance
Ref: 8187-REA",high,87,B,0.33,4,4,5,5,Missing budget context | No review process | No risk assessment | Timeline specified,424,54,79.48,B,Good,0,0,0.0
17386,presentation,"Develop a presentation about biotech strategy. Include market analysis and recommendations. Business audience.

Product: cybersecurity solution
Audience: board members
Timeline: Q2 2024
Ref: 2264-BIO",medium,69,D,0.54,3,2,2,2,No fallback options | Detailed methodology included | Measurable outcomes stated | No risk assessment | Success metrics defined,204,24,40.45,D,Poor,0,0,0.0
17387,video,"video needed asap research

Product: biotech platform
Ref: 6302-RES",low,43,F,0.12,1,1,1,1,Clear role definition | Reference materials cited,70,9,27.63,F,Very Poor,0,0,0.0
17388,report,"Working on a report for biotech team. Needs to be informative but not too technical. Include actionable items.

Company: Horizon Labs
Timeline: this month
Ref: 5194-BIO",medium,66,D,0.5,3,3,4,3,Dependencies outlined | Inconsistent terminology | Ambiguous target audience | Timeline specified | Stakeholders identified,172,26,55.26,C,Average,0,0,0.0
17389,other,"other needed asap research

Company: Global Solutions
Audience: investors
Platform: Rust
Ref: 4071-RES",low,27,F,0.16,1,1,1,1,Technical requirements clear | No fallback options,107,13,27.26,F,Very Poor,0,0,0.0
17390,email,"Need assistance with email for real estate client. Key points to cover: overview, benefits, implementation. Thanks!

Product: research tool
Ref: 5666-REA",medium,73,C,0.56,3,4,3,2,Missing budget context | Clear role definition | Assumptions documented | No quality standards,156,21,50.21,D,Poor,0,0,0.0
17391,creative,"Develop a creative about consulting strategy. Include market analysis and recommendations. Business audience.

Company: Synergy Works
Timeline: Q2 2024
Ref: 4322-CON",medium,67,D,0.5,4,4,2,4,Missing glossary | Measurable outcomes stated,169,21,58.44,C,Average,0,0,0.0
17392,post,"I need a post for retail purposes. It should cover the main points and be around medium length. Please include examples if possible.

Ref: 9385-RET",medium,69,D,0.5,3,3,4,2,Inconsistent terminology | Missing glossary | Lacks formatting guidance | Compliance requirements listed,149,25,51.88,D,Poor,1,1,0.04
17393,image,"Role: UI/UX designer for biotech applications.

Task: Design a mobile app onboarding flow with 5 screens.

Instructions:
1. Create wireframes first, then high-fidelity mockups
2. Include progress indicators
3. Design for iOS and Android
4. Add micro-interaction specifications

Constraints:
- Follow Material Design 3 guidelines
- Accessible color contrast (4.5:1 minimum)
- Figma deliverables

Output Format: Figma file link with component library.

Product: legal suite
Timeline: annual
Ref: 4404-BIO",high,94,A,0.12,5,5,5,4,Missing examples | Missing data source,521,69,92.54,A,Excellent,0,0,0.0
17394,video,"Role: Social media video creator for agriculture brands.

Task: Create 5 short-form videos (15-30 seconds each) for TikTok/Instagram.

Instructions:
1. Hook viewers in first 3 seconds
2. Add trending audio (licensed)
3. Include text overlays for accessibility
4. End with clear CTA

Constraints:
- 9:16 aspect ratio
- Fast-paced editing style
- On-brand visuals

Output Format: MP4 files optimized for each platform.

Audience: partners
Ref: 9622-AGR",high,100,A,0.18,4,4,4,5,Reference materials cited | No fallback options | Dependencies outlined | Unclear ownership | No quality standards,468,66,81.39,B,Good,0,0,0.0
17395,presentation,"create something for research using presentation

Product: energy system
Audience: clients
Timeline: Q3 2024
Ref: 4276-RES",low,62,D,0.25,3,2,1,2,Measurable outcomes stated | Lacks success criteria,127,16,42.3,D,Poor,0,0,0.0
17396,report,"report request: entertainment focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Company: Future Systems
Product: agriculture system
Audience: executives
Ref: 7164-ENT",medium,75,C,0.44,4,4,4,4,Vague objective statement | Lacks formatting guidance | Missing data source | Professional tone maintained,214,25,67.72,C,Average,1,1,0.04
17397,other,"Looking for a other about research trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Company: Synergy Works
Product: nonprofit suite
Audience: partners
Platform: GCP
Ref: 4206-RES",medium,65,D,0.38,4,2,3,3,No review process | Incomplete background info | Missing budget context | No risk assessment,229,29,54.83,D,Poor,0,0,0.0
17398,data_analysis,"make data_analysis for work entertainment

Timeline: Q2 2024
Platform: Rust
Ref: 7046-ENT",low,30,F,0.22,1,1,2,1,Feedback mechanism included | Dependencies outlined | Well-structured sections | Clear role definition | Lacks formatting guidance,93,12,30.91,F,Very Poor,0,0,0.0
17399,post,"Create post content for aerospace use case. Structure: problem, solution, results. Make it persuasive.

Timeline: Q3 2024
Ref: 4234-AER",medium,80,B,0.38,4,2,3,4,Dependencies outlined | Missing glossary | Lacks formatting guidance | Specific deliverables mentioned,138,19,58.49,C,Average,0,0,0.0
17400,post,"Role: Newsletter editor for legal subscribers.

Task: Design weekly newsletter template and content strategy.

Instructions:
1. Curated industry news section
2. Original analysis article
3. Upcoming events calendar
4. Subscriber spotlight

Constraints:
- Mobile-responsive design
- A/B tested subject lines
- Unsubscribe compliance

Output Format: HTML email template with content calendar.

Timeline: weekly
Ref: 9657-LEG",high,92,A,0.24,4,5,5,5,No deadline specified | Unclear ownership | Professional tone maintained | No review process | Measurable outcomes stated,440,55,87.34,A,Excellent,0,0,0.0
17401,image,"Help me create a image focused on sports. It needs to be clear and organized. Target audience is managers.

Ref: 9250-SPO",medium,76,C,0.48,2,4,4,2,Detailed methodology included | Lacks success criteria,123,21,52.62,D,Poor,0,0,0.0
17402,image,"Create image content for healthcare use case. Structure: problem, solution, results. Make it persuasive.

Timeline: Q2 2024
Ref: 6874-HEA",medium,71,C,0.55,2,3,3,4,Unclear ownership | Detailed methodology included,140,19,50.39,D,Poor,0,0,0.0
17403,data_analysis,"Role: Data scientist analyzing consulting customer behavior.

Task: Perform cohort analysis on consulting user retention data.

Instructions:
1. Define cohort segments
2. Calculate retention rates
3. Identify churn patterns
4. Predictive modeling

Constraints:
- SQL and Python required
- Statistical significance testing
- Visualization in Tableau

Output Format: Jupyter notebook with executive summary.

Product: marketing platform
Ref: 7492-CON",high,99,A,0.71,4,5,5,5,Reference materials cited | Specific deliverables mentioned | Assumptions documented | Scope clearly defined,466,58,66.78,C,Average,1,1,0.017241379310344827
17404,post,"Role: Community manager for insurance forum.

Task: Create discussion prompts for insurance professional community.

Instructions:
1. Weekly discussion topics
2. AMA (Ask Me Anything) formats
3. Poll questions
4. Resource sharing posts

Constraints:
- Inclusive language
- Moderation guidelines
- Growth-focused content

Output Format: Content plan with engagement metrics.

Company: TechStart
Product: nonprofit module
Audience: marketing team
Ref: 4006-INS",high,100,A,0.64,5,4,4,5,Missing examples | Output format specified | No fallback options,478,59,66.47,C,Average,0,0,0.0
17405,video,"Role: Motion graphics designer for automotive presentations.

Task: Create animated explainer video about automotive processes.

Instructions:
1. Write 90-second script
2. Design custom illustrations
3. Animate with smooth transitions
4. Add professional voiceover

Constraints:
- After Effects project
- 1080p resolution
- Brand-consistent animation style

Output Format: AE project files with rendered video.

Company: Fusion Brands
Audience: employees
Ref: 6312-AUT",high,96,A,0.36,4,5,4,5,Detailed methodology included | Success metrics defined,487,60,78.23,B,Good,1,1,0.016666666666666666
17406,post,"need post for consulting stuff

Audience: end users
Ref: 7801-CON",low,26,F,0.67,1,2,1,2,Inconsistent terminology | Lacks success criteria | Comprehensive context provided | Unclear ownership,68,10,28.7,F,Very Poor,0,0,0.0
17407,other,"education other please

Company: Innovate Inc
Product: consulting application
Timeline: Q4 2024
Ref: 5098-EDU",low,33,F,0.88,1,1,2,2,Version control noted | Technical requirements clear | Ambiguous target audience | Clear role definition,114,14,25.81,F,Very Poor,0,0,0.0
17408,presentation,"make presentation for work healthcare

Ref: 4852-HEA",low,39,F,0.81,2,2,2,1,No review process | Version control noted | Incomplete background info | Reference materials cited,54,7,29.54,F,Very Poor,0,0,0.0
17409,email,"email needed asap marketing

Timeline: Q2 2024
Ref: 5735-MAR",low,50,F,0.82,3,2,1,1,Well-structured sections | Scope clearly defined | Comprehensive context provided,63,9,29.23,F,Very Poor,0,0,0.0
17410,email,"help with research email

Company: Horizon Labs
Ref: 1894-RES",low,59,F,0.24,3,2,1,1,Missing data source | No risk assessment | No accessibility considerations,64,9,38.51,F,Very Poor,0,0,0.0
17411,code,"code request: entertainment focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Product: agriculture suite
Platform: GCP
Ref: 5906-ENT",medium,75,C,0.41,3,4,2,2,Output format specified | Success metrics defined | No risk assessment | Missing examples,179,22,50.61,D,Poor,1,2,0.09090909090909091
17412,presentation,"Role: HR director presenting real estate company updates.

Task: Create quarterly all-hands meeting presentation.

Instructions:
1. Company performance metrics
2. Department highlights
3. New initiative announcements
4. Q&A preparation

Constraints:
- Engaging and positive tone
- Transparent about challenges
- Interactive elements

Output Format: PowerPoint with embedded polls and feedback forms.

Audience: customers
Timeline: by end of year
Ref: 5630-REA",high,86,B,0.24,4,5,4,4,No deadline specified | Specific deliverables mentioned | No escalation path | Missing examples,478,60,79.22,B,Good,0,0,0.0
17413,email,"need email for healthcare stuff

Ref: 6289-HEA",low,40,F,0.18,2,1,1,2,No escalation path | Clear role definition,48,7,35.24,F,Very Poor,0,0,0.0
17414,post,"Role: Blog writer for cybersecurity publication.

Task: Write 5 in-depth blog posts (1500 words each) on cybersecurity topics.

Instructions:
1. SEO-optimized headlines
2. Original research or insights
3. Expert quotes and citations
4. Clear CTAs

Constraints:
- Keyword integration
- Readable formatting (H2, H3, bullets)
- Meta descriptions

Output Format: Word documents with HTML formatting.

Product: education suite
Audience: investors
Ref: 6965-CYB",high,87,B,0.38,5,4,5,4,Version control noted | Clear role definition,474,62,77.36,B,Good,0,0,0.0
17415,code,"I need a code for aerospace purposes. It should cover the main points and be around medium length. Please include examples if possible.

Audience: stakeholders
Ref: 5352-AER",medium,72,C,0.52,2,3,2,3,No review process | Feedback mechanism included | Missing examples | Output format specified | Lacks prioritization,176,27,44.38,D,Poor,1,2,0.07407407407407407
17416,code,"do a code about hospitality things

Audience: partners
Timeline: Q3 2024
Platform: Python
Ref: 9817-HOS",low,45,F,0.29,3,1,1,1,Reference materials cited | Dependencies outlined | No fallback options | Professional tone maintained | Missing examples,108,15,33.69,F,Very Poor,1,1,0.06666666666666667
17417,video,"Task: video for marketing project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Audience: managers
Ref: 1529-MAR",medium,75,C,0.43,2,4,4,3,Professional tone maintained | Lacks formatting guidance,168,24,57.55,C,Average,0,0,0.0
17418,presentation,"Role: Executive presentation designer for nonprofit leadership.

Task: Create investor pitch deck (12-15 slides) for nonprofit startup.

Instructions:
1. Problem/Solution framework
2. Market size and opportunity
3. Business model explanation
4. Financial projections (3-year)

Constraints:
- Clean, minimalist design
- Data visualizations for key metrics
- Consistent typography

Output Format: PowerPoint file with speaker notes.

Product: retail platform
Ref: 1665-NON",high,86,B,0.86,4,5,5,4,Well-structured sections | No accessibility considerations,488,60,57.65,C,Average,1,1,0.016666666666666666
17419,image,"Help me create a image focused on aerospace. It needs to be clear and organized. Target audience is managers.

Product: banking service
Audience: partners
Timeline: ASAP
Ref: 3284-AER",medium,82,B,0.4,4,3,2,2,Reference materials cited | Clear role definition | Missing budget context,188,28,50.66,D,Poor,0,0,0.0
17420,image,"image request: sports focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Company: Apex Enterprises
Ref: 8279-SPO",medium,81,B,0.58,2,4,3,3,No risk assessment | Success metrics defined | Feedback mechanism included,157,20,49.69,D,Poor,1,1,0.05
17421,code,"Role: You are a senior Python developer specializing in hospitality applications.

Task: Create a robust data processing pipeline that ingests CSV files, performs validation, and outputs cleaned data to a PostgreSQL database.

Instructions:
1. Implement error handling for malformed data
2. Use pandas for data manipulation
3. Include logging at each stage
4. Write unit tests with pytest

Constraints:
- Maximum memory usage: 2GB
- Processing time: <5 minutes for 1M rows
- Python 3.9+ compatible

Output Format: Complete Python module with docstrings and type hints.

Audience: end users
Timeline: ASAP
Ref: 7693-HOS",high,91,A,0.17,4,4,5,5,Incomplete background info | No accessibility considerations,637,93,86.1,A,Excellent,0,0,0.0
17422,presentation,"Role: HR director presenting consulting company updates.

Task: Create quarterly all-hands meeting presentation.

Instructions:
1. Company performance metrics
2. Department highlights
3. New initiative announcements
4. Q&A preparation

Constraints:
- Engaging and positive tone
- Transparent about challenges
- Interactive elements

Output Format: PowerPoint with embedded polls and feedback forms.

Company: Pinnacle Co
Product: telecommunications portal
Audience: sales team
Timeline: weekly
Ref: 6049-CON",high,95,A,0.34,5,5,4,5,Missing budget context | Reference materials cited,528,63,82.75,B,Good,0,0,0.0
17423,other,"manufacturing other please

Company: Fusion Brands
Product: healthcare portal
Audience: marketing team
Ref: 6743-MAN",low,42,F,0.25,3,2,1,1,No escalation path | Stakeholders identified | Strong constraints provided | Specific deliverables mentioned | Missing examples,121,14,38.35,F,Very Poor,0,0,0.0
17424,other,"Role: Strategy consultant advising energy transformation.

Task: Develop digital transformation roadmap for energy organization.

Instructions:
1. Current state assessment
2. Future state vision
3. Gap analysis
4. Implementation phases

Constraints:
- Executive sponsorship
- Change management
- Technology stack

Output Format: Strategy deck with roadmap timeline.

Company: Acme Corp
Platform: Go
Ref: 7173-ENE",high,93,A,0.23,4,5,4,5,No escalation path | Professional tone maintained | No deadline specified | Assumptions documented,431,53,83.61,B,Good,0,0,0.0
17425,email,"email request: automotive focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Company: Nexus Group
Product: legal network
Ref: 2569-AUT",medium,80,B,0.45,2,4,2,2,No fallback options | Detailed methodology included | Success metrics defined | Missing examples,180,23,46.14,D,Poor,1,1,0.043478260869565216
17426,data_analysis,"make data_analysis for work nonprofit

Audience: partners
Platform: Kubernetes
Ref: 9279-NON",low,30,F,0.27,1,2,1,2,Missing examples | Lacks formatting guidance | Detailed methodology included,96,11,34.23,F,Very Poor,0,0,0.0
17427,other,"other needed asap agriculture

Ref: 6716-AGR",low,40,F,0.54,3,1,1,1,Unclear ownership | Technical requirements clear,46,6,30.27,F,Very Poor,0,0,0.0
17428,image,"Role: Concept artist for biotech projects.

Task: Design character concepts for a biotech-themed video game.

Instructions:
1. Create 3 distinct character classes
2. Show front, side, and back views
3. Include color palettes and material references
4. Add personality descriptions

Constraints:
- Stylized realism art style
- Consistent proportions
- Photoshop layered files

Output Format: Character sheets with annotations.

Audience: board members
Ref: 4890-BIO",high,96,A,0.28,4,5,5,4,Stakeholders identified | Strong constraints provided | No risk assessment,482,64,81.71,B,Good,1,1,0.015625
17429,data_analysis,"Role: Business intelligence analyst for energy sales.

Task: Build sales forecasting model for energy quarterly planning.

Instructions:
1. Historical data analysis
2. Seasonal decomposition
3. Machine learning model
4. Confidence intervals

Constraints:
- 95% accuracy target
- Real-time updating
- Stakeholder presentation

Output Format: Python script with PowerPoint results.

Platform: GCP
Ref: 8839-ENE",high,86,B,0.31,4,5,4,4,Missing budget context | Compliance requirements listed,426,53,76.48,B,Good,0,0,0.0
17430,post,"Role: Twitter/X content creator for hospitality influencer.

Task: Develop 30-day tweet thread series on hospitality insights.

Instructions:
1. Educational thread hooks
2. Data-driven arguments
3. Engagement questions
4. Visual asset coordination

Constraints:
- Character limits respected
- Consistent posting times
- Community engagement plan

Output Format: Spreadsheet with scheduled tweets and media links.

Product: real estate product
Audience: end users
Timeline: next 6 months
Ref: 2091-HOS",high,92,A,0.85,5,4,5,5,Technical requirements clear | Comprehensive context provided | Professional tone maintained | Output format specified | Missing budget context,520,66,60.51,C,Average,0,0,0.0
17431,presentation,"Role: Conference speaker preparing energy keynote.

Task: Design 45-minute keynote presentation on energy future trends.

Instructions:
1. Opening story/hook (5 min)
2. Three main content sections (10 min each)
3. Case study examples
4. Actionable takeaways

Constraints:
- High-impact visuals
- Minimal text per slide
- Seamless transitions

Output Format: Keynote/PowerPoint with presentation guide.

Company: Fusion Brands
Audience: clients
Ref: 9093-ENE",high,98,A,0.35,4,4,4,4,No review process | Unclear ownership | Comprehensive context provided,476,61,71.03,B,Good,1,1,0.01639344262295082
17432,data_analysis,"data_analysis needed asap entertainment

Audience: marketing team
Platform: Kafka
Ref: 5753-ENT",low,60,D,0.81,1,2,2,2,Reference materials cited | Compliance requirements listed | No review process | Unclear ownership,99,11,29.58,F,Very Poor,0,0,0.0
17433,report,"help with retail report

Company: TechStart
Product: real estate dashboard
Ref: 9886-RET",low,27,F,0.19,2,1,1,1,No fallback options | Missing glossary | Version control noted | Stakeholders identified,92,12,31.02,F,Very Poor,0,0,0.0
17434,video,"Looking for a video about transportation trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Product: cybersecurity portal
Ref: 6518-TRA",medium,68,D,0.51,3,2,4,2,Success metrics defined | Missing examples,181,22,48.1,D,Poor,0,0,0.0
17435,code,"retail code please

Company: TechStart
Audience: stakeholders
Timeline: weekly
Ref: 8766-RET",low,35,F,0.26,3,1,2,1,Ambiguous target audience | Lacks formatting guidance | No escalation path | Reference materials cited | Measurable outcomes stated,97,11,38.2,F,Very Poor,1,1,0.09090909090909091
17436,report,"Task: report for government project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Product: insurance portal
Ref: 5530-GOV",medium,69,D,0.44,2,3,3,2,Missing examples | Detailed methodology included,177,25,46.38,D,Poor,0,0,0.0
17437,video,"Looking for a video about journalism trends. Should have introduction, main content, and conclusion. Professional tone preferred.

Ref: 5840-JOU",medium,66,D,0.51,4,2,2,2,Missing glossary | Missing data source,146,19,44.38,D,Poor,0,0,0.0
17438,video,"Create a video about research. Include some best practices and make it professional. Should be useful for a team meeting.

Company: Apex Enterprises
Ref: 7369-RES",medium,79,C,0.47,3,2,4,4,Specific deliverables mentioned | No review process | Missing examples | Comprehensive context provided,165,25,56.01,C,Average,0,0,0.0
17439,post,"Create a post about government. Include some best practices and make it professional. Should be useful for a team meeting.

Audience: managers
Ref: 1811-GOV",medium,65,D,0.3,3,2,2,2,Specific deliverables mentioned | Technical requirements clear,159,24,45.4,D,Poor,0,0,0.0
17440,data_analysis,"I need a data_analysis for real estate purposes. It should cover the main points and be around medium length. Please include examples if possible.

Product: consulting system
Audience: clients
Ref: 9309-REA",medium,74,C,0.33,3,4,2,2,Strong constraints provided | No risk assessment,210,31,52.63,D,Poor,1,1,0.03225806451612903
17441,report,"Role: Data analyst for nonprofit performance metrics.

Task: Generate monthly KPI dashboard report.

Instructions:
1. Key metrics definitions
2. Month-over-month comparisons
3. Trend analysis
4. Department breakdowns

Constraints:
- Automated data refresh
- Interactive filters
- Mobile-friendly view

Output Format: Power BI dashboard with PDF export.

Company: Horizon Labs
Ref: 1307-NON",high,87,B,0.2,5,5,4,4,Technical requirements clear | No review process | Unclear ownership | Missing examples | Strong constraints provided,407,51,84.8,B,Good,0,0,0.0
17442,video,"aerospace video please

Company: Peak Performance
Ref: 5350-AER",low,42,F,0.11,2,2,1,1,Vague objective statement | No accessibility considerations | Stakeholders identified | No risk assessment,66,8,36.38,F,Very Poor,0,0,0.0
17443,code,"Task: code for education project

Requirements:
- Cover basics
- Include visuals
- Make it engaging

Deadline is next week.

Company: Quantum Dynamics
Product: hospitality module
Timeline: annual
Ref: 8270-EDU",medium,76,C,0.54,2,4,4,3,Technical requirements clear | No quality standards | Measurable outcomes stated,221,30,54.25,D,Poor,1,1,0.03333333333333333
17444,presentation,"Role: Academic presenter in insurance research.

Task: Prepare research findings presentation for insurance conference.

Instructions:
1. Abstract and methodology
2. Data analysis and results
3. Statistical significance tests
4. Implications and future work

Constraints:
- IEEE citation format
- High-resolution charts
- 20-minute format

Output Format: PowerPoint with references and appendix.

Audience: stakeholders
Timeline: ASAP
Ref: 2208-INS",high,86,B,0.23,5,5,4,5,Technical requirements clear | Stakeholders identified | Unclear ownership,467,57,87.55,A,Excellent,0,0,0.0
17445,report,"Role: Financial analyst preparing consulting market report.

Task: Create quarterly financial analysis report for consulting sector.

Instructions:
1. Executive summary
2. Revenue and expense analysis
3. Variance explanations
4. Forecast and recommendations

Constraints:
- GAAP compliant
- Data visualization charts
- Risk disclosures

Output Format: Excel workbook with PowerPoint summary.

Product: technology interface
Ref: 3967-CON",high,87,B,0.36,5,5,5,4,Version control noted | No review process | No fallback options | No quality standards,454,55,82.05,B,Good,0,0,0.0
17446,code,"Create code content for entertainment use case. Structure: problem, solution, results. Make it persuasive.

Audience: clients
Platform: Angular
Ref: 6726-ENT",medium,76,C,0.38,4,3,4,2,Clear role definition | Detailed methodology included | Version control noted | Comprehensive context provided | Unclear ownership,161,20,58.81,C,Average,1,1,0.05
17447,report,"report request: legal focus area. Should explain concepts clearly with supporting data. Around 5-10 pages/slides.

Audience: administrators
Ref: 3191-LEG",medium,75,C,0.59,3,4,2,3,Success metrics defined | Well-structured sections | Strong constraints provided | No fallback options,156,19,49.23,D,Poor,1,1,0.05263157894736842
17448,creative,"Role: Screenwriter for marketing documentary series.

Task: Create pilot episode script (30 pages) about marketing pioneers.

Instructions:
1. Opening hook scene
2. Character introductions
3. Narrative arc
4. Visual direction notes

Constraints:
- Industry-standard format
- Dialogue authenticity
- B-roll suggestions

Output Format: Final Draft or Celtx screenplay file.

Ref: 9451-MAR",high,87,B,0.67,5,5,4,4,Dependencies outlined | Clear role definition | No accessibility considerations | Measurable outcomes stated | Strong constraints provided,403,51,65.36,C,Average,0,0,0.0
17449,code,"Role: Senior JavaScript developer specializing in telecommunications frontend systems.

Task: Build a React component library for data visualization dashboards.

Instructions:
1. Create reusable chart components (line, bar, pie)
2. Implement responsive design with Tailwind CSS
3. Add Storybook documentation
4. Include unit tests with Jest

Constraints:
- TypeScript required
- Accessibility (WCAG 2.1 AA)
- Bundle size <200KB

Output Format: Component files with props interfaces and test files.

Product: hospitality system
Timeline: next 6 months
Ref: 2260-TEL",high,98,A,0.28,5,4,4,4,Vague objective statement | Assumptions documented | No accessibility considerations | Well-structured sections,583,77,77.44,B,Good,0,0,0.0
17450,email,"Create email content for automotive use case. Structure: problem, solution, results. Make it persuasive.

Company: Acme Corp
Product: retail tool
Audience: managers
Ref: 5846-AUT",medium,82,B,0.39,4,4,2,3,Success metrics defined | Vague objective statement | Stakeholders identified | Missing budget context | Clear role definition,183,24,58.33,C,Average,0,0,0.0
17451,document,"document on e-commerce topic

Audience: executives
Timeline: by end of year
Ref: 9828-E-C",low,35,F,0.17,3,2,1,1,No fallback options | No accessibility considerations | Incomplete background info,93,13,39.63,F,Very Poor,0,0,0.0
17452,image,"Role: Concept artist for legal projects.

Task: Design character concepts for a legal-themed video game.

Instructions:
1. Create 3 distinct character classes
2. Show front, side, and back views
3. Include color palettes and material references
4. Add personality descriptions

Constraints:
- Stylized realism art style
- Consistent proportions
- Photoshop layered files

Output Format: Character sheets with annotations.

Company: Quantum Dynamics
Ref: 1785-LEG",high,94,A,0.12,4,5,4,4,Reference materials cited | No quality standards,480,64,83.92,B,Good,1,1,0.015625
17453,data_analysis,"Role: Operations analyst optimizing entertainment supply chain.

Task: Analyze entertainment logistics data for efficiency improvements.

Instructions:
1. Route optimization analysis
2. Inventory turnover metrics
3. Cost-benefit modeling
4. Bottleneck identification

Constraints:
- Lean methodology
- ROI calculations
- Implementation roadmap

Output Format: Excel model with PowerPoint recommendations.

Audience: customers
Ref: 1615-ENT",high,98,A,0.28,4,4,4,5,Lacks prioritization | Timeline specified,457,51,77.49,B,Good,1,1,0.0196078431372549
17454,image,"Role: Professional graphic designer for nonprofit marketing.

Task: Create a modern logo design for a new nonprofit startup.

Instructions:
1. Use minimalist design principles
2. Incorporate nonprofit-relevant symbolism
3. Ensure scalability for all sizes
4. Provide color variations

Constraints:
- Primary colors: navy blue and gold
- Must work on dark and light backgrounds
- Vector format required

Output Format: SVG files with color palette specifications.

Product: telecommunications system
Audience: developers
Ref: 5753-NON",high,90,A,0.39,4,5,5,4,Feedback mechanism included | No risk assessment,552,73,77.15,B,Good,1,1,0.0136986301369863
17455,report,"Role: Risk analyst for finance operations.

Task: Compile comprehensive risk assessment report.

Instructions:
1. Risk identification matrix
2. Probability and impact scoring
3. Mitigation strategies
4. Monitoring procedures

Constraints:
- Industry standard frameworks
- Quantitative analysis
- Board-ready format

Output Format: PDF with risk heat maps and action plans.

Product: government dashboard
Ref: 2563-FIN",high,86,B,0.75,4,4,4,5,Comprehensive context provided | Output format specified,435,54,59.14,C,Average,0,0,0.0
17456,code,"Create code content for biotech use case. Structure: problem, solution, results. Make it persuasive.

Product: finance interface
Audience: employees
Platform: Kafka
Ref: 1042-BIO",medium,72,C,0.39,4,3,2,2,Strong constraints provided | Version control noted,183,23,50.91,D,Poor,1,1,0.043478260869565216
